2017-09-24 11:50:35,569 [Thread-9] ERROR org.eclipse.jgit.util.FS - 

Agreeing to the Xcode/iOS license requires admin privileges, please run âsudo xcodebuild -licenseâ and then retry this command.



2017-09-24 11:50:35,763 [Thread-10] ERROR org.eclipse.jgit.util.FS - 

Agreeing to the Xcode/iOS license requires admin privileges, please run âsudo xcodebuild -licenseâ and then retry this command.



2017-09-24 11:57:08,147 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: ysho123.com:wolf_Kill:0.0.1-SNAPSHOT @ /Users/youshuhao/Documents/GitHub/wolfKill/Eclipse_wolfKill/wolf_Kill/pom.xml.
2017-09-24 11:57:13,444 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /wolf_Kill/src/main/java
2017-09-24 11:57:13,446 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /wolf_Kill/src/main/resources
2017-09-24 11:57:13,448 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /wolf_Kill/src/test/java
2017-09-24 11:57:13,449 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /wolf_Kill/src/test/resources
2017-09-24 11:57:18,563 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-24 11:57:18,578 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-09-24 11:57:18,584 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-24 11:57:18,585 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-09-24 11:57:19,015 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-24 11:57:19,019 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
